"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.308450209359718 0.324863483758882 0.160188552624299 0.428560343495833 0.512872052869563 0.621981997728789 0.50418044769269 0.554840724508059 0.482402341372532 1
"2" 0.589471404587838 0.318311801015773 0.418499090438754 0.186881218085069 0.409655018050332 0.621981997728789 0.755965368243621 0.463447242127901 1 0.463447242127901
"3" 1 1 1 1 1 1 1 1 1 1
"4" 1 1 1 1 1 1 1 1 1 1
"5" 1 1 1 1 1 1 1 1 1 1
"6" 1 1 1 1 1 1 1 1 1 1
"7" 0.410492277218832 0.476241065330763 0.261472621460695 0.295030433592954 0.452414936779992 0.612821893798137 0.380736503705676 0.474285615350705 0.221192569714928 0.66969576496784
"8" 0.299519021539448 0.180299263181593 0.19579829001556 0.21814139885677 0.326682806749258 0.565053252648579 1 0.405609617528565 0.463447242127901 0.210063735007489
"9" 0.360972456001785 0.217683005326371 0.160431498876616 0.210083426805565 0.259712242355404 0.326222593605029 1 1 0.385275720981542 0.22323592418466
"10" 1 1 1 1 1 1 1 1 1 1
"11" 0.324640038312064 0.25355095486305 0.198991445438981 0.14434094725739 0.159674086913455 0.22080133345169 0.282464887844616 0.371051776116194 0.486779521867088 0.22410019972271
"12" 0.23013379181811 0.312439439681248 0.236431127885562 0.20387103770625 0.154904180474185 0.165011615408983 0.225915687597173 0.291500267750737 0.388891567522428 0.27036186271121
"13" 0.273247826126185 0.205040248226656 0.403288315635354 0.295818772354409 0.245103111500917 0.183838889573559 0.201155383162139 0.293742201295843 0.472375778835168 0.343090977652243
"14" 1 1 1 1 1 1 1 1 1 1
"15" 1 1 1 1 1 1 1 1 1 1
"16" 1 1 1 1 1 1 1 1 1 1
"17" 1 1 1 1 1 1 1 1 1 1
"18" 0.342787287390573 0.275864638913789 0.21419748451632 0.171053380499181 0.158843471805497 0.280362412641429 0.292484833446824 0.374457185594954 0.417564625668965 0.210122841113353
"19" 0.419445644857903 0.170384512692004 0.287174906700668 0.259266480228832 0.193839911312258 0.194489234692528 0.402531156629884 0.423358738052647 0.565053252648579 0.298674220663705
"20" 0.312800280103737 0.227355429181376 0.145510745982103 0.263717899092605 0.27640509667505 0.199372681667841 0.195878398374115 0.382403091848529 0.345894480860293 0.252444983512157
"21" 0.476241065330763 0.205665267330848 0.201372830275001 0.15660693167348 0.290176182800073 0.296619051457009 0.228974460351842 0.228942716645699 0.37200687654409 0.305201849317703
"22" 1 1 1 1 1 1 1 1 1 1
"23" 1 1 1 1 1 1 1 1 1 1
"24" 1 1 1 1 1 1 1 1 1 1
"25" 1 1 1 1 1 1 1 1 1 1
"26" 1 1 1 1 1 1 1 1 1 1
"27" 1 1 1 1 1 1 1 1 1 1
"28" 0.288885057009875 0.202479976752003 0.268941888594863 0.195059240481318 0.309123623483141 0.273162956070632 0.203111686453384 0.265928835823464 0.163902966406363 0.210340355017339
"29" 0.356660070186674 0.343090977652243 0.282260831523115 0.313163472021357 0.214395380313968 0.342184422313276 0.29113579719429 0.199757996802506 0.27667755529351 0.17680898661446
"30" 0.402531156629884 0.248373232587179 0.277689576299938 0.259393406005552 0.302735779687799 0.237390423342715 0.363033517296808 0.353338447678673 0.216501706185376 0.190338506710613
"31" 0.379648007960434 0.224354625807348 0.202207993260282 0.298256784386316 0.261672367836086 0.2778758159535 0.247435009753395 0.300377384240238 0.312259892601027 0.19312816231347
"32" 0.311902527603028 0.324195725599088 0.255729199102615 0.18895269122164 0.268170705927917 0.259456998909086 0.275954305951217 0.249484815369774 0.269567843207551 0.181303430979805
"33" 0.484562232553874 0.192117050972314 0.28465862086944 0.242058955765223 0.194156705905464 0.289233999236182 0.280756170521282 0.313345958583827 0.276860030384611 0.219248843361426
"34" 0.401040784605586 0.328085717820692 0.151872691422142 0.269804683701195 0.269410591979101 0.218752802225528 0.302886663130003 0.299377290250085 0.323754810357422 0.217706998399264
"35" 0.438941724058502 0.3715275868802 0.267713862852128 0.168356570579013 0.322667078309357 0.285519872381263 0.230626594398673 0.326222593605029 0.294640640772991 0.228847631906289
