bootstrap/ICES_data/nm.dat auto written
1 2
1988  2022
2  15
1
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
