"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 0.354286553615671 0.188697566641727 0.25560233881189 0.091330887188182 0.350163236899982 0.469620835440144 0.404793596333685 0.304753596447956 0.357274616691037 0.5087806821499 0.367175569586254
"2" 0.255133815484529 0.504971626049708 0.471808234460264 0.411662763946875 0.109099033073775 0.478045943811042 0.725060658779639 0.756636957250404 0.485430356628937 0.625990673949079 0.64138671661417
"3" 0.298563562534852 0.281513509478616 0.517688774826919 0.325562315533647 0.335063998084931 0.123099208508905 0.637353130185588 0.608722718596103 0.559773794239003 0.532549666066903 0.571507800508654
"4" 0.483977237899605 0.362996302635445 0.510839373046719 0.621603455631252 0.303982348794442 0.357338486582106 0.124484333235833 0.527214344132729 0.833667436011262 1.18744741050169 0.6005861122375
"5" 0.630511351887547 0.319545676375023 0.23331164196006 0.428072542363615 0.65113634931173 0.324636294316147 0.409468228467993 0.123209368227667 0.528213628842659 0.768495181957226 0.612852717114521
"6" 0.380959934032747 0.245318162636969 0.158206690790318 0.169256928121548 0.360485938851903 0.470826580220256 0.242025625860967 0.28152332229472 0.100825226556526 1 1
"7" 0.367718945147251 0.234718683821186 0.156645699300865 0.104955400387452 0.136889812156174 0.298315636412538 0.367147060468926 0.224258408699594 0.227663718605877 0.0865649903317455 0.416057284312829
"8" 0.660905233742532 0.19432207030529 0.10670302908243 0.0876094831537681 0.0869093432924248 0.122234246123658 0.29875005000839 0.296663419647983 0.182353285958376 0.171598883202159 0.0769217954027096
"9" 0.240602187723573 0.230462826329304 0.0836870958472122 0.064153127831312 0.0762570792772416 0.10114363748058 0.159950864325996 0.410985905203975 0.378833513934011 0.185646927741566 0.078773875888559
"10" 0.267416910388719 0.148017521541057 0.115881840665088 0.0613253644550488 0.0592021020198399 0.0818881108105878 0.1088516419414 0.190785606626927 0.275020310108594 0.23495650199434 0.0956125820097872
"11" 0.17218185674285 0.181858306664701 0.120297369320424 0.104533495493273 0.0617390904306184 0.0690352443695714 0.103306764099926 0.14819954506764 0.214865529740573 0.254662130243617 0.122387307172505
